Area,Element,mean,std,min,max,Cluster
Afghanistan,Standard Deviation,1.184,0.4894412903495464,0.548,2.597,2
Afghanistan,Temperature change,0.386340206185567,1.1974452134874998,-3.087,3.895,7
Africa,Standard Deviation,0.33907407407407403,0.07494006373989985,0.238,0.488,0
Africa,Temperature change,0.40954285714285715,0.5624419804021401,-1.202,1.585,3
Albania,Standard Deviation,1.1191145833333334,0.33227892119317204,0.425,1.939,4
Albania,Temperature change,0.23019318181818182,1.4914763330026395,-4.319,4.308,7
Algeria,Standard Deviation,0.86,0.31393004869189906,0.394,1.362,4
Algeria,Temperature change,0.9427045454545454,1.102111194080267,-1.769,3.247,1
American Samoa,Standard Deviation,0.36555913978494625,0.06974619552747183,0.224,0.498,0
American Samoa,Temperature change,0.48610344827586205,0.7352220995628772,-2.114,2.606,8
Americas,Standard Deviation,0.3990404040404041,0.1329652340008331,0.202,0.823,0
Americas,Temperature change,0.505906976744186,0.6602505340516266,-0.704,2.727,3
Andorra,Standard Deviation,1.184625,0.4460569122739181,0.415,2.295,2
Andorra,Temperature change,0.8304895833333333,1.3870856232425381,-2.355,5.696,1
Angola,Standard Deviation,0.3398617021276596,0.08033874533108346,0.199,0.464,0
Angola,Temperature change,0.3446521739130435,0.6222433790266273,-1.006,1.873,3
Anguilla,Standard Deviation,0.3818086956521739,0.09899511733947125,0.241,0.554,0
Anguilla,Temperature change,0.193796875,0.4516096907131899,-0.934,1.374,3
Annex I countries,Standard Deviation,0.5271847826086956,0.2190303270359853,0.28,1.012,0
Annex I countries,Temperature change,0.6444587155963303,0.7734021345365827,-1.907,3.325,8
Antarctica,Standard Deviation,1.4021160714285714,0.41930785408353494,0.473,2.216,2
Antarctica,Temperature change,0.16903669724770642,1.4626495803633688,-3.156,4.367,7
Antigua and Barbuda,Standard Deviation,0.3753827160493827,0.10500173425963433,0.248,0.58,0
Antigua and Barbuda,Temperature change,0.36083838383838385,0.4805516113433689,-0.965,1.669,3
Argentina,Standard Deviation,0.8380618556701032,0.27393851250603773,0.308,1.424,4
Argentina,Temperature change,0.20777319587628865,0.9676812330811156,-2.256,2.48,8
Armenia,Temperature change,1.0579245283018868,1.6129762248361854,-4.511,4.043,9
Aruba,Standard Deviation,0.5283448275862069,0.11223478584274844,0.349,0.705,0
Aruba,Temperature change,0.4822637362637363,0.6152410879785228,-0.925,2.547,3
